group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,SCF_bead,raw_bead
1,1,1,1_1,linearity,0.995,6.00,10.00,10.00,40.85,0.8636
1,1,2,1_2,linearity,0.995,6.00,10.00,10.00,40.84,0.8628
1,1,3,1_3,linearity,0.995,6.00,10.00,10.00,40.75,0.9771
1,1,4,1_4,linearity,0.995,6.00,10.00,10.00,42.97,0.8508
1,1,5,1_5,linearity,0.995,6.00,10.00,10.00,43.52,0.9164
1,1,6,1_6,linearity,0.995,6.00,25.00,25.00,41.46,1.6380
1,1,7,1_7,linearity,0.995,6.00,25.00,25.00,40.44,1.6490
1,1,8,1_8,linearity,0.995,6.00,,,lost,-
1,1,9,1_9,linearity,0.995,6.00,,,41.54,lost
1,1,10,1_10,linearity,0.995,6.00,25.00,25.00,39.96,1.6510
1,1,11,2_1,linearity,0.995,6.00,25.00,25.00,41.84,1.7050
1,1,12,2_2,linearity,0.995,6.00,50.00,50.00,41.72,2.6550
1,1,13,2_3,linearity,0.995,6.00,50.00,50.00,38.5,2.9160
1,1,14,2_4,linearity,0.995,6.00,50.00,50.00,41.85,2.8970
1,1,15,2_5,linearity,0.995,6.00,50.00,50.00,40.61,2.7160
1,1,16,2_6,linearity,0.995,6.00,50.00,50.00,40.02,2.8690
1,1,17,2_7,linearity,0.995,6.00,100.00,100.00,41.43,5.3120
1,1,18,2_8,linearity,0.995,6.00,100.00,100.00,41.58,5.7740
1,1,19,2_9,linearity,0.995,6.00,100.00,100.00,39.89,5.3040
1,1,20,2_10,linearity,0.995,6.00,100.00,100.00,41.05,5.3540
1,1,21,3_1,linearity,0.995,6.00,100.00,100.00,45.84,5.2940
1,1,22,3_2,linearity,0.995,6.00,250.00,250.00,40.15,12.3800
1,1,23,3_3,linearity,0.995,6.00,250.00,250.00,39.12,12.2800
1,1,24,3_4,linearity,0.995,6.00,250.00,250.00,42.14,15.5700
1,1,25,3_5,linearity,0.995,6.00,250.00,250.00,40.87,12.4700
1,1,26,3_6,linearity,0.995,6.00,250.00,250.00,37.2,11.4100
1,1,27,3_7,linearity,0.995,6.00,500.00,500.00,40.13,26.0100
1,1,28,3_8,linearity,0.995,6.00,500.00,500.00,41.65,27.1700
1,1,29,3_9,linearity,0.995,6.00,500.00,500.00,38.72,24.0300
1,1,30,3_10,linearity,0.995,6.00,500.00,500.00,41.76,24.0900
1,1,31,4_1,linearity,0.995,6.00,500.00,500.00,36.81,22.2700
1,1,32,4_2,linearity,0.995,6.00,1000.00,1000.00,39.36,58.0000
1,1,33,4_3,linearity,0.995,6.00,1000.00,1000.00,39.90,47.8200
1,1,34,4_4,linearity,0.995,6.00,1000.00,1000.00,40.40,50.1800
1,1,35,4_5,linearity,0.995,6.00,1000.00,1000.00,39.61,54.0000
1,1,36,4_6,linearity,0.995,6.00,1000.00,1000.00,41.80,57.1900
1,1,37,4_7,linearity,0.995,6.00,2000.00,2000.00,42.97,98.1900
1,1,38,4_8,linearity,0.995,6.00,2000.00,2000.00,39.77,94.0100
1,1,39,4_9,linearity,0.995,6.00,2000.00,2000.00,39.56,111.2000
1,1,40,4_10,linearity,0.995,6.00,2000.00,2000.00,38.88,94.8900
1,1,41,5_1,linearity,0.995,6.00,2000.00,2000.00,40.16,98.1000
1,1,42,5_2,linearity,0.995,6.00,3000.00,3000.00,42.34,146.6000
1,1,43,5_3,linearity,0.995,6.00,3000.00,3000.00,40.49,150.9000
1,1,44,5_4,linearity,0.995,6.00,3000.00,3000.00,41.43,146.5000
1,1,45,5_5,linearity,0.995,6.00,3000.00,3000.00,40.87,150.9000
1,1,46,5_6,linearity,0.995,6.00,3000.00,3000.00,41.23,148.9000
1,1,47,5_7,linearity,0.995,6.00,5000.00,5000.00,39.61,259.9000
1,1,48,5_8,linearity,0.995,6.00,5000.00,5000.00,40.92,259.9000
1,1,49,5_9,linearity,0.995,6.00,,,42.62,-
1,1,50,5_10,linearity,0.995,6.00,5000.00,5000.00,42.34,245.9000
1,1,51,6_1,linearity,0.995,6.00,,,43.12,lost
1,1,52,6_2,linearity,0.995,6.00,5000.00,5000.00,43.17,273.5000
1,1,53,6_3,linearity,0.995,10.00,0.00,0.00,39.80,0.6478
1,1,54,6_4,linearity,0.995,10.00,0.00,0.00,39.21,0.5139
1,1,55,6_5,linearity,0.995,10.00,0.00,0.00,38.38,0.6250
1,1,56,6_6,linearity,0.995,10.00,0.00,0.00,39.76,0.6495
1,1,57,6_7,linearity,0.995,10.00,0.00,0.00,39.59,0.6184
1,1,58,6_8,linearity,0.995,10.00,10.00,10.00,40.92,1.5110
1,1,59,6_9,linearity,0.995,10.00,10.00,10.00,42.56,1.5900
1,1,60,6_10,linearity,0.995,10.00,10.00,10.00,42.02,1.4990
1,1,61,7_1,linearity,0.995,10.00,10.00,10.00,39.21,1.3360
1,1,62,7_2,linearity,0.995,10.00,10.00,10.00,37.28,1.3590
1,1,63,7_3,linearity,0.995,10.00,,,lost ,-
1,1,64,7_4,linearity,0.995,10.00,25.00,25.00,39.03,1.6550
1,1,65,7_5,linearity,0.995,10.00,25.00,25.00,37.60,1.9520
1,1,66,7_6,linearity,0.995,10.00,25.00,25.00,38.13,1.5970
1,1,67,7_7,linearity,0.995,10.00,25.00,25.00,37.51,1.7240
1,1,68,7_8,linearity,0.995,10.00,25.00,25.00,38.42,2.0790
1,1,69,7_9,linearity,0.995,10.00,50.00,50.00,37.94,2.9890
1,1,70,7_10,linearity,0.995,10.00,50.00,50.00,38.90,2.9140
1,1,71,8_1,linearity,0.995,10.00,50.00,50.00,38.70,2.9970
1,1,72,8_2,linearity,0.995,10.00,50.00,50.00,39.44,2.7740
1,1,73,8_3,linearity,0.995,10.00,50.00,50.00,38.07,3.1030
1,1,74,8_4,linearity,0.995,10.00,100.00,100.00,39.58,5.2790
1,1,75,8_5,linearity,0.995,10.00,100.00,100.00,36.61,5.6490
1,1,76,8_6,linearity,0.995,10.00,100.00,100.00,39.81,5.2250
1,1,77,8_7,linearity,0.995,10.00,100.00,100.00,38.75,5.4730
1,1,78,8_8,linearity,0.995,10.00,100.00,100.00,43.81,5.2230
1,1,79,8_9,linearity,0.995,10.00,250.00,250.00,38.52,14.1400
1,1,80,8_10,linearity,0.995,10.00,250.00,250.00,37.30,12.6100
1,1,81,9_1,linearity,0.995,10.00,250.00,250.00,40.48,12.4100
1,1,82,9_2,linearity,0.995,10.00,250.00,250.00,39.29,12.2900
1,1,83,9_3,linearity,0.995,10.00,250.00,250.00,39.26,12.2000
1,1,84,9_4,linearity,0.995,10.00,500.00,500.00,38.23,25.2800
1,1,85,9_5,linearity,0.995,10.00,,,lost,-
1,1,86,9_6,linearity,0.995,10.00,500.00,500.00,37.95,26.7700
1,1,87,9_7,linearity,0.995,10.00,500.00,500.00,41.08,24.4800
1,1,88,9_8,linearity,0.995,10.00,500.00,500.00,39.44,27.4600
1,1,89,9_9,linearity,0.995,10.00,500.00,500.00,38.58,23.5200
1,1,90,9_10,linearity,0.995,10.00,1000.00,1000.00,46.59,60.3500
1,1,91,10_1,linearity,0.995,10.00,1000.00,1000.00,43.81,52.1200
1,1,92,10_2,linearity,0.995,10.00,1000.00,1000.00,40.92,49.6900
1,1,93,10_3,linearity,0.995,10.00,1000.00,1000.00,46.76,50.2100
1,1,94,10_4,linearity,0.995,10.00,1000.00,1000.00,37.46,49.5000
1,1,95,10_5,linearity,0.995,10.00,2000.00,2000.00,37.54,99.2700
1,1,96,10_6,linearity,0.995,10.00,2000.00,2000.00,38.14,97.3200
1,1,97,10_7,linearity,0.995,10.00,2000.00,2000.00,39.69,97.5500
1,1,98,10_8,linearity,0.995,10.00,2000.00,2000.00,37.62,114.1000
1,1,99,10_9,linearity,0.995,10.00,2000.00,2000.00,37.88,110.1000
1,1,100,10_10,linearity,0.995,10.00,3000.00,3000.00,38.59,146.2000
1,1,101,11_1,linearity,0.995,10.00,3000.00,3000.00,41.49,152.0000
1,1,102,11_2,linearity,0.995,10.00,3000.00,3000.00,45.95,151.9000
1,1,103,11_3,linearity,0.995,10.00,3000.00,3000.00,37.56,156.8000
1,1,104,11_4,linearity,0.995,10.00,3000.00,3000.00,37.99,140.2000
1,1,105,11_5,linearity,0.995,10.00,5000.00,5000.00,37.25,246.7000
1,1,106,11_6,linearity,0.995,10.00,5000.00,5000.00,39.41,250.8000
1,1,107,11_7,linearity,0.995,10.00,5000.00,5000.00,37.34,269.2000
1,1,108,11_8,linearity,0.995,10.00,5000.00,5000.00,45.48,255.9000
1,1,109,11_9,linearity,0.995,10.00,,,42.77,lost
1,1,110,11_10,linearity,0.995,10.00,0.00,0.00,38.82,0.5604
1,1,111,12_1,linearity,0.995,10.00,0.00,0.00,39.91,0.5331
1,1,112,12_2,linearity,0.995,10.00,0.00,0.00,37.54,0.5327
1,1,113,12_3,linearity,0.995,10.00,0.00,0.00,37.18,0.6763
1,1,114,12_4,linearity,0.995,10.00,0.00,0.00,38.98,0.6064
1,1,115,12_5,dose_rate,0.995,6.00,200.00,600.00,37.63,9.4940
1,1,116,12_6,dose_rate,0.995,6.00,200.00,600.00,36.80,9.3130
1,1,117,12_7,dose_rate,0.995,6.00,200.00,600.00,37.69,9.9690
1,1,118,12_8,dose_rate,0.995,6.00,200.00,600.00,37.88,9.8850
1,1,119,12_9,dose_rate,0.995,6.00,200.00,600.00,38.52,10.0100
1,1,120,12_10,dose_rate,0.995,6.00,200.00,500.00,39.33,10.4700
1,1,121,13_1,dose_rate,0.995,6.00,,,lost,-
1,1,122,13_2,dose_rate,0.995,6.00,200.00,500.00,45.33,10.0100
1,1,123,13_3,dose_rate,0.995,6.00,200.00,500.00,37.97,9.6490
1,1,124,13_4,dose_rate,0.995,6.00,200.00,500.00,40.04,9.4740
1,1,125,13_5,dose_rate,0.995,6.00,200.00,500.00,38.52,9.5380
1,1,126,13_6,dose_rate,0.995,6.00,200.00,400.00,37.60,9.8080
1,1,127,13_7,dose_rate,0.995,6.00,200.00,400.00,40.63,10.2900
1,1,128,13_8,dose_rate,0.995,6.00,200.00,400.00,39.82,9.7850
1,1,129,13_9,dose_rate,0.995,6.00,200.00,400.00,39.92,10.2400
1,1,130,13_10,dose_rate,0.995,6.00,200.00,400.00,39.19,10.0100
1,1,131,14_1,dose_rate,0.995,6.00,200.00,300.00,43.92,9.6240
1,1,132,14_2,dose_rate,0.995,6.00,200.00,300.00,37.79,9.2100
1,1,133,14_3,dose_rate,0.995,6.00,200.00,300.00,37.69,9.8870
