group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead
1,1.0,1,1_1,linearity,0.995,6.0,10.0,10.0,40.85,0.8636,0.9765717062151664
1,1.0,2,1_2,linearity,0.995,6.0,10.0,10.0,40.84,0.8628,0.9768119779634031
1,1.0,3,1_3,linearity,0.995,6.0,10.0,10.0,40.75,0.9771,0.9789797558986748
1,1.0,4,1_4,linearity,0.995,6.0,10.0,10.0,42.97,0.8508,0.9281705880128085
1,1.0,5,1_5,linearity,0.995,6.0,10.0,10.0,43.52,0.9164,0.9163875503280119
1,1.0,6,1_6,linearity,0.995,6.0,25.0,25.0,41.46,1.6380,0.9621353451298924
1,1.0,7,1_7,linearity,0.995,6.0,25.0,25.0,40.44,1.6490,0.986520760898002
1,1.0,10,1_10,linearity,0.995,6.0,25.0,25.0,39.96,1.6510,0.9984291304783234
1,1.0,11,2_1,linearity,0.995,6.0,25.0,25.0,41.84,1.7050,0.9533559931435694
1,1.0,12,2_2,linearity,0.995,6.0,50.0,50.0,41.72,2.6550,0.956111060899059
1,1.0,13,2_3,linearity,0.995,6.0,50.0,50.0,38.5,2.9160,1.0364849150212492
1,1.0,14,2_4,linearity,0.995,6.0,50.0,50.0,41.85,2.8970,0.9531271206913611
1,1.0,15,2_5,linearity,0.995,6.0,50.0,50.0,40.61,2.7160,0.9823710456305483
1,1.0,16,2_6,linearity,0.995,6.0,50.0,50.0,40.02,2.8690,0.9969248856549058
1,1.0,17,2_7,linearity,0.995,6.0,100.0,100.0,41.43,5.3120,0.9628353435217045
1,1.0,18,2_8,linearity,0.995,6.0,100.0,100.0,41.58,5.7740,0.959345500274683
1,1.0,19,2_9,linearity,0.995,6.0,100.0,100.0,39.89,5.3040,1.0001898302685581
1,1.0,20,2_10,linearity,0.995,6.0,100.0,100.0,41.05,5.3540,0.9717909721319973
1,1.0,21,3_1,linearity,0.995,6.0,100.0,100.0,45.84,5.2940,0.8698097442537965
1,1.0,22,3_2,linearity,0.995,6.0,250.0,250.0,40.15,12.3800,0.9936811873666426
1,1.0,23,3_3,linearity,0.995,6.0,250.0,250.0,39.12,12.2800,1.019975487857704
1,1.0,24,3_4,linearity,0.995,6.0,250.0,250.0,42.14,15.5700,0.9465372916396031
1,1.0,25,3_5,linearity,0.995,6.0,250.0,250.0,40.87,12.4700,0.9760915171500125
1,1.0,26,3_6,linearity,0.995,6.0,250.0,250.0,37.2,11.4100,1.072897556815689
1,1.0,27,3_7,linearity,0.995,6.0,500.0,500.0,40.13,26.0100,0.9941788432866081
1,1.0,28,3_8,linearity,0.995,6.0,500.0,500.0,41.65,27.1700,0.9577255497501904
1,1.0,29,3_9,linearity,0.995,6.0,500.0,500.0,38.72,24.0300,1.0305659055959489
1,1.0,30,3_10,linearity,0.995,6.0,500.0,500.0,41.76,24.0900,0.9551909374016815
1,1.0,31,4_1,linearity,0.995,6.0,500.0,500.0,36.81,22.2700,1.0843255546878814
1,1.0,32,4_2,linearity,0.995,6.0,1000.0,1000.0,39.36,58.0000,1.0137250742067454
1,1.0,33,4_3,linearity,0.995,6.0,1000.0,1000.0,39.9,47.8200,0.9999379216259702
1,1.0,34,4_4,linearity,0.995,6.0,1000.0,1000.0,40.4,50.1800,0.9875022645394528
1,1.0,35,4_5,linearity,0.995,6.0,1000.0,1000.0,39.61,54.0000,1.0072951694031365
1,1.0,36,4_6,linearity,0.995,6.0,1000.0,1000.0,41.8,57.1900,0.9542725831825977
1,1.0,37,4_7,linearity,0.995,6.0,2000.0,2000.0,42.97,98.1900,0.9281705880128085
1,1.0,38,4_8,linearity,0.995,6.0,2000.0,2000.0,39.77,94.0100,1.0032226640561408
1,1.0,39,4_9,linearity,0.995,6.0,2000.0,2000.0,39.56,111.2000,1.0085746166492184
1,1.0,40,4_10,linearity,0.995,6.0,2000.0,2000.0,38.88,94.8900,1.0263034571481993
1,1.0,41,5_1,linearity,0.995,6.0,2000.0,2000.0,40.16,98.1000,0.9934325461935589
1,1.0,42,5_2,linearity,0.995,6.0,3000.0,3000.0,42.34,146.6000,0.9420454218094493
1,1.0,43,5_3,linearity,0.995,6.0,3000.0,3000.0,40.49,150.9000,0.9852966216519623
1,1.0,44,5_4,linearity,0.995,6.0,3000.0,3000.0,41.43,146.5000,0.9628353435217045
1,1.0,45,5_5,linearity,0.995,6.0,3000.0,3000.0,40.87,150.9000,0.9760915171500125
1,1.0,46,5_6,linearity,0.995,6.0,3000.0,3000.0,41.23,148.9000,0.9675281562800283
1,1.0,47,5_7,linearity,0.995,6.0,5000.0,5000.0,39.61,259.9000,1.0072951694031365
1,1.0,48,5_8,linearity,0.995,6.0,5000.0,5000.0,40.92,259.9000,0.9748931079416864
1,1.0,50,5_10,linearity,0.995,6.0,5000.0,5000.0,42.34,245.9000,0.9420454218094493
1,1.0,52,6_2,linearity,0.995,6.0,5000.0,5000.0,43.17,273.5000,0.923850950516375
1,1.0,53,6_3,linearity,0.995,10.0,0.0,0.0,39.8,0.6478,1.0024627326025755
1,1.0,54,6_4,linearity,0.995,10.0,0.0,0.0,39.21,0.5139,1.0176225710616986
