group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead
1,1.0,1,1_1,linearity,0.995,6.0,10.0,10.0,40.85,0.8636
1,1.0,2,1_2,linearity,0.995,6.0,10.0,10.0,40.84,0.8628
1,1.0,3,1_3,linearity,0.995,6.0,10.0,10.0,40.75,0.9771
1,1.0,4,1_4,linearity,0.995,6.0,10.0,10.0,42.97,0.8508
1,1.0,5,1_5,linearity,0.995,6.0,10.0,10.0,43.52,0.9164
1,1.0,6,1_6,linearity,0.995,6.0,25.0,25.0,41.46,1.6380
1,1.0,7,1_7,linearity,0.995,6.0,25.0,25.0,40.44,1.6490
1,1.0,10,1_10,linearity,0.995,6.0,25.0,25.0,39.96,1.6510
1,1.0,11,2_1,linearity,0.995,6.0,25.0,25.0,41.84,1.7050
1,1.0,12,2_2,linearity,0.995,6.0,50.0,50.0,41.72,2.6550
1,1.0,13,2_3,linearity,0.995,6.0,50.0,50.0,38.5,2.9160
1,1.0,14,2_4,linearity,0.995,6.0,50.0,50.0,41.85,2.8970
1,1.0,15,2_5,linearity,0.995,6.0,50.0,50.0,40.61,2.7160
1,1.0,16,2_6,linearity,0.995,6.0,50.0,50.0,40.02,2.8690
1,1.0,17,2_7,linearity,0.995,6.0,100.0,100.0,41.43,5.3120
1,1.0,18,2_8,linearity,0.995,6.0,100.0,100.0,41.58,5.7740
1,1.0,19,2_9,linearity,0.995,6.0,100.0,100.0,39.89,5.3040
1,1.0,20,2_10,linearity,0.995,6.0,100.0,100.0,41.05,5.3540
1,1.0,21,3_1,linearity,0.995,6.0,100.0,100.0,45.84,5.2940
1,1.0,22,3_2,linearity,0.995,6.0,250.0,250.0,40.15,12.3800
1,1.0,23,3_3,linearity,0.995,6.0,250.0,250.0,39.12,12.2800
1,1.0,24,3_4,linearity,0.995,6.0,250.0,250.0,42.14,15.5700
1,1.0,25,3_5,linearity,0.995,6.0,250.0,250.0,40.87,12.4700
1,1.0,26,3_6,linearity,0.995,6.0,250.0,250.0,37.2,11.4100
1,1.0,27,3_7,linearity,0.995,6.0,500.0,500.0,40.13,26.0100
1,1.0,28,3_8,linearity,0.995,6.0,500.0,500.0,41.65,27.1700
1,1.0,29,3_9,linearity,0.995,6.0,500.0,500.0,38.72,24.0300
1,1.0,30,3_10,linearity,0.995,6.0,500.0,500.0,41.76,24.0900
1,1.0,31,4_1,linearity,0.995,6.0,500.0,500.0,36.81,22.2700
1,1.0,32,4_2,linearity,0.995,6.0,1000.0,1000.0,39.36,58.0000
1,1.0,33,4_3,linearity,0.995,6.0,1000.0,1000.0,39.9,47.8200
1,1.0,34,4_4,linearity,0.995,6.0,1000.0,1000.0,40.4,50.1800
1,1.0,35,4_5,linearity,0.995,6.0,1000.0,1000.0,39.61,54.0000
