group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control,calibrated_count,adjusted_count,,,,,,,
1,0.20691667,1,1_1,0.976571706,67.49,0.611921,65.90882445,65.31123972,,,,1,54.62632798,,6.39196839
1,0.20691667,1,1_2,0.976811978,56.99,0.611921,55.66851462,55.07078286,,,,2,50.84387369,,2.033179722
1,0.20691667,1,1_3,0.978979756,54.9,0.611921,53.7459886,53.14693033,,,,3,52.53027862,,2.642396679
1,0.20691667,1,1_4,0.928170588,53.84,0.611921,49.97270446,49.40473738,,,,4,50.41356739,,1.642829366
1,0.20691667,1,1_5,0.91638755,55.39,0.611921,50.75870641,50.19794963,,,,6,49.7445061,,1.882298388
2,0.20691667,1,1_6,0.962135345,51.44,0.611921,49.49224215,48.90349133,,,,10,50.7274476,,3.459577057
2,0.20691667,1,1_7,0.986520761,55.05,0.611921,54.30796789,53.70429512,,,,24,47.63435599,,1.857159005
2,0.20691667,1,1_10,0.99842913,51.2,0.611921,51.11957148,50.50861173,,,,48,47.19152924,,2.810315072
2,0.20691667,1,2_1,0.953355993,53.33,0.611921,50.84247511,50.25909656,,,,72,46.25158645,,1.596271665
3,0.20691667,1,2_3,1.036484915,54.2,0.611921,56.17748239,55.54323551,,,,144,44.72074478,,1.880994613
3,0.20691667,1,2_4,0.953127121,53.17,0.611921,50.67776901,50.09453051,,,,168,43.34910324,,2.025388001
3,0.20691667,1,2_5,0.982371046,51.87,0.611921,50.95558614,50.35445266,,,,240,46.99389417,,1.80797307
3,0.20691667,1,2_6,0.996924886,55.97,0.611921,55.79788585,55.18784658,,,,336,44.31967499,,1.014556698
3,0.20691667,1,2_7,0.962835344,54.07,0.611921,52.06050702,51.47132786,,,,408,45.69147139,,4.334870328
4,0.20691667,1,3_2,0.993681187,52.11,0.611921,51.78072667,51.17267229,,,,,,,
4,0.20691667,1,3_3,1.019975488,51.56,0.611921,52.58993615,51.96579173,,,,,,,
4,0.20691667,1,3_4,0.946537292,51.81,0.611921,49.04009708,48.46089103,,,,,,,
4,0.20691667,1,3_5,0.976091517,50.64,0.611921,49.42927443,48.83198353,,,,,,,
4,0.20691667,1,3_6,1.072897557,48.74,0.611921,52.29302692,51.63649837,,,,,,,
5,0.20691667,1,3_7,0.994178843,48.97,0.611921,48.68493796,48.07657904,,,,,,,
5,0.20691667,1,3_8,0.95772555,52.29,0.611921,50.079469,49.49341662,,,,,,,
5,0.20691667,1,3_9,1.030565906,50.21,0.611921,51.74471412,51.1140892,,,,,,,
5,0.20691667,1,3_10,0.955190937,50.72,0.611921,48.44728435,47.86278295,,,,,,,
5,0.20691667,1,4_1,1.084325555,48.73,0.611921,52.83918428,52.1756627,,,,,,,
6,0.20691667,1,4_2,1.013725074,48.23,0.611921,48.89196033,48.27164067,,,,,,,
6,0.20691667,1,4_3,0.999937922,48.43,0.611921,48.42699354,47.81511053,,,,,,,
6,0.20691667,1,4_4,0.987502265,56.85,0.611921,56.13950374,55.53523037,,,,,,,
6,0.20691667,1,4_5,1.007295169,53.48,0.611921,53.87014566,53.25376059,,,,,,,
6,0.20691667,1,4_6,0.954272583,51.71,0.611921,49.34543528,48.76149584,,,,,,,
7,0.20691667,1,4_7,0.928170588,49.03,0.611921,45.50820393,44.94023686,,,,,,,
7,0.20691667,1,4_9,1.008574617,48.08,0.611921,48.49226757,47.87509958,,,,,,,
7,0.20691667,1,4_10,1.026303457,48.12,0.611921,49.38572236,48.75770572,,,,,,,
7,0.20691667,1,5_1,0.993432546,49.9,0.611921,49.57228406,48.96438182,,,,,,,
8,0.21,1,5_2,0.942045422,49.86,0.611921,46.97038473,46.39392735,,,,,,,
8,0.21,1,5_3,0.985296622,53.34,0.611921,52.5557218,51.9527981,,,,,,,
8,0.21,1,5_4,0.962835344,48.35,0.611921,46.55308886,45.96390969,,,,,,,
8,0.21,1,5_5,0.976091517,48.82,0.611921,47.65278787,47.05549697,,,,,,,
8,0.21,1,5_6,0.967528156,46.7,0.611921,45.1835649,44.5915141,,,,,,,
9,0.22168333,1,5_7,1.007295169,48.37,0.611921,48.72286734,48.10648228,,,,,,,
9,0.22168333,1,5_8,0.974893108,47.45,0.611921,46.25867797,45.66212041,,,,,,,
9,0.22168333,1,6_1,0.942045422,47.71,0.611921,44.94498707,44.3685297,,,,,,,
9,0.22168333,1,6_2,0.923850951,49.76,0.611921,45.97082332,45.40549952,,,,,,,
9,0.22168333,1,6_3,1.002462733,48.21,0.611921,48.32872834,47.71530034,,,,,,,
10,0.2312,1,6_4,1.017622571,42.86,0.611921,43.6153034,42.99259877,,,,,,,
10,0.2312,1,6_5,1.039742213,46.2,0.611921,48.03609025,47.39985015,,,,,,,
10,0.2312,1,6_6,1.003476231,46.33,0.611921,46.49105377,45.87700559,,,,,,,
10,0.2312,1,6_7,1.007806559,43.48,0.611921,43.81942917,43.20273117,,,,,,,
10,0.2312,1,6_8,0.974893108,45.88,0.611921,44.72809579,44.13153823,,,,,,,
11,0.21621667,1,6_9,0.93715335,43.37,0.611921,40.64434081,40.07087699,,,,,,,
11,0.21621667,1,6_10,0.949253034,46.08,0.611921,43.74157981,43.16071194,,,,,,,
11,0.21621667,1,7_1,1.017622571,43.43,0.611921,44.19534826,43.57264364,,,,,,,
11,0.21621667,1,7_2,1.070583062,42.99,0.611921,46.02436584,45.36925358,,,,,,,
11,0.21621667,1,7_4,1.022339311,44.21,0.611921,45.19762092,44.57203003,,,,,,,
12,0.21183333,1,7_5,1.061424087,44.37,0.611921,47.09538674,46.44587905,,,,,,,
12,0.21183333,1,7_6,1.046594439,43.25,0.611921,45.26520951,44.62477639,,,,,,,
12,0.21183333,1,7_7,1.063984171,45.29,0.611921,48.1878431,47.53676884,,,,,,,
12,0.21183333,1,7_8,1.038654175,45.63,0.611921,47.39378999,46.75821569,,,,,,,
12,0.21183333,1,7_9,1.051862839,47.77,0.611921,50.24748784,49.60383088,,,,,,,
13,0.20583333,1,7_10,1.025773129,44.14,0.611921,45.27762591,44.64993379,,,,,,,
13,0.20583333,1,8_1,1.031101202,43.1,0.611921,44.44046182,43.80950934,,,,,,,
13,0.20583333,1,8_2,1.011658592,43.47,0.611921,43.97679898,43.35774384,,,,,,,
13,0.20583333,1,8_3,1.048252434,44.43,0.611921,46.57385565,45.93240797,,,,,,,
13,0.20583333,1,8_4,1.008062448,44.11,0.611921,44.46563458,43.84878,,,,,,,
14,0.20986667,1,8_5,1.09028102,44.53,0.611921,48.55021384,47.88304799,,,,,,,
14,0.20986667,1,8_6,1.002209678,50.25,0.611921,50.36103632,49.74776317,,,,,,,
14,0.20986667,1,8_7,1.029764002,47.48,0.611921,48.8931948,48.26306058,,,,,,,
14,0.20986667,1,8_8,0.910294334,43.71,0.611921,39.78896533,39.23193711,,,,,,,
14,0.20986667,1,8_9,1.035944015,42.44,0.611921,43.965464,43.3315481,,,,,,,
1,0.20691667,1.5,1_1,0.981134705,145.4,0.611921,142.6569862,142.0566092,,,,,,,
1,0.20691667,1.5,1_2,0.98651548,139.2,0.611921,137.3229549,136.7192853,,,,,,,
1,0.20691667,1.5,1_3,1.047810872,133.3,0.611921,139.6731892,139.0320117,,,,,,,
1,0.20691667,1.5,1_4,0.998378729,138.8,0.611921,138.5749675,137.9640386,,,,,,,
1,0.20691667,1.5,1_5,1.008642007,129,0.611921,130.1148189,129.4976097,,,,,,,
2,0.20691667,1.5,1_6,0.943400229,143.2,0.611921,135.0949127,134.5176263,,,,,,,
2,0.20691667,1.5,1_7,0.944225568,128.2,0.611921,121.0497179,120.4719264,,,,,,,
2,0.20691667,1.5,1_8,0.922436579,145.1,0.611921,133.8455477,133.2810893,,,,,,,
2,0.20691667,1.5,1_9,0.952559093,137.8,0.611921,131.262643,130.6797521,,,,,,,
2,0.20691667,1.5,1_10,1.060161735,138.3,0.611921,146.6203679,145.9716327,,,,,,,
3,0.20691667,1.5,2_1,0.940113248,135.8,0.611921,127.667379,127.092104,,,,,,,
3,0.20691667,1.5,2_2,0.969675371,134.2,0.611921,130.1304348,129.5370701,,,,1,137.0539109,,4.663096309
3,0.20691667,1.5,2_3,0.991044751,136.6,0.611921,135.3767129,134.7702718,,,,2,132.9844054,,9.123875523
3,0.20691667,1.5,2_4,0.961041027,137.3,0.611921,131.950933,131.3628518,,,,3,131.1742427,,3.002255392
3,0.20691667,1.5,2_5,1.09746083,121.9,0.611921,133.7804752,133.1089158,,,,4,127.6147964,,1.861521985
4,0.20691667,1.5,2_6,0.974050986,129.4,0.611921,126.0421976,125.4461553,,,,6,127.5522431,,7.997378583
4,0.20691667,1.5,2_7,1.019118489,127.8,0.611921,130.2433428,129.6197228,,,,10,119.9948832,,6.693112134
4,0.20691667,1.5,2_8,0.967936113,130.6,0.611921,126.4124563,125.8201559,,,,24,126.5229192,,6.171967551
4,0.20691667,1.5,2_9,0.980243611,131.8,0.611921,129.1961079,128.5962763,,,,48,122.4966694,,2.726392954
4,0.20691667,1.5,2_10,1.077089711,120,0.611921,129.2507653,128.5916715,,,,72,114.4808348,,6.495425611
5,0.20691667,1.5,3_1,0.932800635,129.7,0.611921,120.9842424,120.4134421,,,,144,111.4553679,,1.024991155
5,0.20691667,1.5,3_2,0.9352255,138.8,0.611921,129.8092994,129.2370152,,,,168,111.9066244,,4.395111562
5,0.20691667,1.5,3_3,0.974050986,144.6,0.611921,140.8477726,140.2517303,,,,240,111.8895138,,3.581162644
5,0.20691667,1.5,3_4,0.984715343,129.2,0.611921,127.2252223,126.6226543,,,,336,114.2222773,,5.875560473
5,0.20691667,1.5,3_5,0.958480629,127.1,0.611921,121.8228879,121.2363735,,,,408,113.0845957,,1.785911736
6,0.20691667,1.5,3_6,0.916950759,133.6,0.611921,122.5046213,121.9435199,,,,,,,
6,0.20691667,1.5,3_7,0.971420891,130.6,0.611921,126.8675684,126.2731355,,,,,,,
6,0.20691667,1.5,3_8,0.853840081,133.8,0.611921,114.2438028,113.7213201,,,,,,,
6,0.20691667,1.5,3_9,0.827649564,136.1,0.611921,112.6431057,112.1366495,,,,,,,
6,0.20691667,1.5,3_10,1.027853418,123.1,0.611921,126.5287558,125.8997907,,,,,,,
7,0.20691667,1.5,4_1,0.958480629,129.8,0.611921,124.4107856,123.8242712,,,,,,,
7,0.20691667,1.5,4_2,1.011477808,122.2,0.611921,123.6025881,122.9836436,,,,,,,
7,0.20691667,1.5,4_3,0.973172707,127.9,0.611921,124.4687892,123.8732844,,,,,,,
7,0.20691667,1.5,4_4,0.953400543,131.1,0.611921,124.9908112,124.4074054,,,,,,,
7,0.20691667,1.5,4_5,0.983817736,140.4,0.611921,138.1280101,137.5259914,,,,,,,
8,0.21,1.5,4_6,0.980243611,126.3,0.611921,123.8047681,123.2049364,,,,,,,
8,0.21,1.5,4_7,0.974050986,126.9,0.611921,123.6070701,123.0110279,,,,,,,
8,0.21,1.5,4_8,0.992868125,127.6,0.611921,126.6899728,126.0824159,,,,,,,
8,0.21,1.5,4_9,1.00676029,118.4,0.611921,119.2004184,118.5843606,,,,,,,
8,0.21,1.5,4_10,0.984715343,124.1,0.611921,122.2031741,121.6006061,,,,,,,
9,0.22168333,1.5,5_1,1.024925185,119.7,0.611921,122.6835447,122.0563714,,,,,,,
9,0.22168333,1.5,5_2,0.912300296,119.1,0.611921,108.6549653,108.0967096,,,,,,,
9,0.22168333,1.5,5_3,0.916950759,117.6,0.611921,107.8334092,107.2723078,,,,,,,
9,0.22168333,1.5,5_4,0.994698221,118.2,0.611921,117.5733298,116.964653,,,,,,,
9,0.22168333,1.5,5_6,1.030798431,115.1,0.611921,118.6448995,118.0141322,,,,,,,
10,0.2312,1.5,5_7,0.955087911,116.4,0.611921,111.1722328,110.5877945,,,,,,,
10,0.2312,1.5,5_8,0.977580013,114.8,0.611921,112.2261855,111.6279838,,,,,,,
10,0.2312,1.5,5_9,0.913072095,123.5,0.611921,112.7644037,112.2056757,,,,,,,
10,0.2312,1.5,5_10,0.981134705,115.4,0.611921,113.222945,112.6225681,,,,,,,
10,0.2312,1.5,6_1,1.116303412,99.36,0.611921,110.915907,110.2328175,,,,,,,
11,0.21621667,1.5,6_2,1.036739378,111.6,0.611921,115.7001146,115.065712,,,,,,,
11,0.21621667,1.5,6_3,0.982921763,107.8,0.611921,105.9589661,105.3574956,,,,,,,
11,0.21621667,1.5,6_4,1.035744469,106.4,0.611921,110.2032115,109.5694177,,,,,,,
11,0.21621667,1.5,6_5,1.010530771,115.3,0.611921,116.5141978,115.8958328,,,,,,,
11,0.21621667,1.5,6_6,0.971420891,117.6,0.611921,114.2390968,113.6446639,,,,,,,
12,0.21183333,1.5,6_7,0.936036592,118.7,0.611921,111.1075434,110.534763,,,,,,,
12,0.21183333,1.5,6_8,0.988322211,109.3,0.611921,108.0236177,107.4188426,,,,,,,
12,0.21183333,1.5,6_9,0.931191033,124.6,0.611921,116.0264027,115.4565873,,,,,,,
