group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control
1,0.20691667,1,1_1,0.9765717062151664,67.4900,0.611921
1,0.20691667,1,1_2,0.9768119779634031,56.9900,0.611921
1,0.20691667,1,1_3,0.9789797558986748,54.9000,0.611921
1,0.20691667,1,1_4,0.9281705880128085,53.8400,0.611921
1,0.20691667,1,1_5,0.9163875503280119,55.3900,0.611921
2,0.20691667,1,1_6,0.9621353451298924,51.4400,0.611921
2,0.20691667,1,1_7,0.986520761,55.0500,0.611921
2,0.20691667,1,1_10,0.9984291304783234,51.2000,0.611921
2,0.20691667,1,2_1,0.9533559931435694,53.3300,0.611921
3,0.20691667,1,2_3,1.0364849150212492,54.2000,0.611921
3,0.20691667,1,2_4,0.9531271206913611,53.1700,0.611921
3,0.20691667,1,2_5,0.9823710456305483,51.8700,0.611921
3,0.20691667,1,2_6,0.9969248856549058,55.9700,0.611921
3,0.20691667,1,2_7,0.9628353435217045,54.0700,0.611921
4,0.20691667,1,3_2,0.9936811873666426,52.1100,0.611921
4,0.20691667,1,3_3,1.019975487857704,51.5600,0.611921
4,0.20691667,1,3_4,0.9465372916396031,51.8100,0.611921
4,0.20691667,1,3_5,0.9760915171500125,50.6400,0.611921
4,0.20691667,1,3_6,1.072897556815689,48.7400,0.611921
5,0.20691667,1,3_7,0.9941788432866081,48.9700,0.611921
5,0.20691667,1,3_8,0.9577255497501904,52.2900,0.611921
5,0.20691667,1,3_9,1.0305659055959489,50.2100,0.611921
5,0.20691667,1,3_10,0.9551909374016815,50.7200,0.611921
5,0.20691667,1,4_1,1.0843255546878814,48.7300,0.611921
6,0.20691667,1,4_2,1.0137250742067454,48.2300,0.611921
6,0.20691667,1,4_3,0.9999379216259702,48.4300,0.611921
6,0.20691667,1,4_4,0.9875022645394528,56.8500,0.611921
6,0.20691667,1,4_5,1.0072951694031365,53.4800,0.611921
6,0.20691667,1,4_6,0.9542725831825977,51.7100,0.611921
7,0.20691667,1,4_7,0.9281705880128085,49.0300,0.611921
7,0.20691667,1,4_9,1.0085746166492184,48.0800,0.611921
7,0.20691667,1,4_10,1.0263034571481993,48.1200,0.611921
7,0.20691667,1,5_1,0.9934325461935589,49.9000,0.611921
8,0.21,1,5_2,0.9420454218094493,49.8600,0.611921
8,0.21,1,5_3,0.9852966216519623,53.3400,0.611921
8,0.21,1,5_4,0.9628353435217045,48.3500,0.611921
8,0.21,1,5_5,0.9760915171500125,48.8200,0.611921
8,0.21,1,5_6,0.9675281562800283,46.7000,0.611921
9,0.22168333,1,5_7,1.0072951694031365,48.3700,0.611921
9,0.22168333,1,5_8,0.9748931079416864,47.4500,0.611921
9,0.22168333,1,6_1,0.9420454218094493,47.7100,0.611921
9,0.22168333,1,6_2,0.923850951,49.7600,0.611921
9,0.22168333,1,6_3,1.0024627326025755,48.2100,0.611921
10,0.2312,1,6_4,1.0176225710616986,42.8600,0.611921
10,0.2312,1,6_5,1.0397422130971479,46.2000,0.611921
10,0.2312,1,6_6,1.0034762306396383,46.3300,0.611921
10,0.2312,1,6_7,1.0078065585674707,43.4800,0.611921
10,0.2312,1,6_8,0.9748931079416864,45.8800,0.611921
11,0.21621667,1,6_9,0.9371533504792761,43.3700,0.611921
11,0.21621667,1,6_10,0.9492530339801329,46.0800,0.611921
11,0.21621667,1,7_1,1.0176225710616986,43.4300,0.611921
11,0.21621667,1,7_2,1.0705830620349834,42.9900,0.611921
11,0.21621667,1,7_4,1.0223393105592011,44.2100,0.611921
12,0.21183333,1,7_5,1.0614240869076494,44.3700,0.611921
12,0.21183333,1,7_6,1.046594439478986,43.2500,0.611921
12,0.21183333,1,7_7,1.0639841708738775,45.2900,0.611921
12,0.21183333,1,7_8,1.0386541746717444,45.6300,0.611921
12,0.21183333,1,7_9,1.0518628393548444,47.7700,0.611921
13,0.20583333,1,7_10,1.0257731289739414,44.1400,0.611921
13,0.20583333,1,8_1,1.0311012024042476,43.1000,0.611921
13,0.20583333,1,8_2,1.0116585916469145,43.4700,0.611921
13,0.20583333,1,8_3,1.0482524342151602,44.4300,0.611921
13,0.20583333,1,8_4,1.008062447917731,44.1100,0.611921
14,0.20986667,1,8_5,1.0902810204900508,44.5300,0.611921
14,0.20986667,1,8_6,1.002209678,50.2500,0.611921
14,0.20986667,1,8_7,1.0297640016963259,47.4800,0.611921
14,0.20986667,1,8_8,0.9102943337898803,43.7100,0.611921
14,0.20986667,1,8_9,1.035944015,42.4400,0.611921
15,,1,8_10,1.0700059977846588,,0.611921
15,,1,9_1,0.9855412064021603,,0.611921
15,,1,9_2,1.0155401841505518,,0.611921
15,,1,9_3,1.016320079746836,,0.611921
15,,1,9_4,1.0438427394258438,,0.611921
,,,,,,0.611921
,,,,,,0.611921
1,0.20691667,1.5,1_1,0.9811347054392335,145.4000,0.611921
1,0.20691667,1.5,1_2,0.9865154804770311,139.2000,0.611921
1,0.20691667,1.5,1_3,1.047810871632104,133.3000,0.611921
1,0.20691667,1.5,1_4,0.9983787287235124,138.8000,0.611921
1,0.20691667,1.5,1_5,1.008642006844574,129.0000,0.611921
2,0.20691667,1.5,1_6,0.9434002285458551,143.2000,0.611921
2,0.20691667,1.5,1_7,0.9442255683213312,128.2000,0.611921
2,0.20691667,1.5,1_8,0.9224365793442643,145.1000,0.611921
2,0.20691667,1.5,1_9,0.9525590929925092,137.8000,0.611921
2,0.20691667,1.5,1_10,1.0601617348813117,138.3000,0.611921
3,0.20691667,1.5,2_1,0.9401132476262537,135.8000,0.611921
3,0.20691667,1.5,2_2,0.9696753709195257,134.2000,0.611921
3,0.20691667,1.5,2_3,0.9910447505367089,136.6000,0.611921
3,0.20691667,1.5,2_4,0.9610410271600951,137.3000,0.611921
3,0.20691667,1.5,2_5,1.0974608298585853,121.9000,0.611921
4,0.20691667,1.5,2_6,0.9740509859109169,129.4000,0.611921
