bead_size,bead_number,experiment,beam_energy,exp_variable,scf_count,scf_bead,calibrated_count,adjusted_count
1.0,1,linearity,6.0,10.0,40.85,0.0047866177070583,35.27806,-11.403120673469381
1.0,2,linearity,6.0,10.0,40.84,0.0047877897486124,35.236752,-11.444428673469382
1.0,3,linearity,6.0,10.0,40.75,0.0047983640081799,39.816825,-6.864355673469383
1.0,4,linearity,6.0,10.0,42.97,0.0045504615623303,36.558876,-10.122304673469387
1.0,5,linearity,6.0,10.0,43.52,0.0044929534313725,39.881728,-6.799452673469382
1.0,6,linearity,6.0,25.0,41.46,0.0047161923138768,67.91148,21.230299326530613
1.0,7,linearity,6.0,25.0,40.44,0.0048351467194197,66.68556,20.00437932653061
1.0,10,linearity,6.0,25.0,39.96,0.0048932265598932,65.97396,19.29277932653062
1.0,11,linearity,6.0,25.0,41.84,0.0046733588272785,71.33720000000001,24.656019326530625
1.0,12,linearity,6.0,50.0,41.72,0.0046868008948545,110.76659999999998,64.0854193265306
1.0,13,linearity,6.0,50.0,38.5,0.0050787878787878,112.26599999999999,65.5848193265306
1.0,14,linearity,6.0,50.0,41.85,0.0046722421346077,121.23944999999999,74.5582693265306
1.0,15,linearity,6.0,50.0,40.61,0.0048149060165804,110.29676,63.61557932653062
1.0,16,linearity,6.0,50.0,40.02,0.0048858903881392,114.81738000000001,68.13619932653063
1.0,17,linearity,6.0,100.0,41.43,0.0047196073698608,220.07616000000002,173.39497932653063
1.0,18,linearity,6.0,100.0,41.58,0.004702581369248,240.08292,193.40173932653062
1.0,19,linearity,6.0,100.0,39.89,0.0049018133199632,211.57656,164.89537932653062
1.0,20,linearity,6.0,100.0,41.05,0.0047632967925294,219.7817,173.10051932653062
1.0,21,linearity,6.0,100.0,45.84,0.0042655613728912,242.67696,195.99577932653062
1.0,22,linearity,6.0,250.0,40.15,0.0048700705687007,497.057,450.37581932653063
1.0,23,linearity,6.0,250.0,39.12,0.0049982958418541,480.39359999999994,433.71241932653055
1.0,24,linearity,6.0,250.0,42.14,0.0046400885935769,656.1198,609.4386193265307
1.0,25,linearity,6.0,250.0,40.87,0.0047842753445885,509.64889999999997,462.9677193265306
1.0,26,linearity,6.0,250.0,37.2,0.0052562724014336,424.45200000000006,377.77081932653067
1.0,27,linearity,6.0,500.0,40.13,0.0048724977157571,1043.7813,997.1001193265307
1.0,28,linearity,6.0,500.0,41.65,0.0046946778711484,1131.6305,1084.9493193265307
1.0,29,linearity,6.0,500.0,38.72,0.0050499311294765,930.4416,883.7604193265306
1.0,30,linearity,6.0,500.0,41.76,0.0046823116219667,1005.9984,959.3172193265306
1.0,31,linearity,6.0,500.0,36.81,0.0053119623290772,819.7587000000001,773.0775193265307
1.0,32,linearity,6.0,1000.0,39.36,0.0049678184281842,2282.88,2236.1988193265306
1.0,33,linearity,6.0,1000.0,39.9,0.0049005847953216,1908.018,1861.3368193265305
1.0,34,linearity,6.0,1000.0,40.4,0.0048399339933993,2027.272,1980.5908193265304
1.0,35,linearity,6.0,1000.0,39.61,0.0049364638559286,2138.94,2092.2588193265306
1.0,36,linearity,6.0,1000.0,41.8,0.0046778309409888,2390.542,2343.8608193265304
1.0,37,linearity,6.0,2000.0,42.97,0.0045504615623303,4219.2243,4172.54311932653
1.0,38,linearity,6.0,2000.0,39.77,0.0049166038052133,3738.7777000000006,3692.096519326531
1.0,39,linearity,6.0,2000.0,39.56,0.0049427030670711,4399.072,4352.390819326531
1.0,40,linearity,6.0,2000.0,38.88,0.0050291495198902,3689.3232000000003,3642.6420193265308
1.0,41,linearity,6.0,2000.0,40.16,0.0048688579017264,3939.6959999999995,3893.01481932653
1.0,42,linearity,6.0,3000.0,42.34,0.0046181703668713,6207.044,6160.36281932653
1.0,43,linearity,6.0,3000.0,40.49,0.0048291759282127,6109.941000000001,6063.259819326531
1.0,44,linearity,6.0,3000.0,41.43,0.0047196073698608,6069.495,6022.81381932653
1.0,45,linearity,6.0,3000.0,40.87,0.0047842753445885,6167.282999999999,6120.60181932653
1.0,46,linearity,6.0,3000.0,41.23,0.0047425014148273,6139.147,6092.46581932653
1.0,47,linearity,6.0,5000.0,39.61,0.0049364638559286,10294.639,10247.95781932653
1.0,48,linearity,6.0,5000.0,40.92,0.0047784294558488,10635.108,10588.42681932653
1.0,50,linearity,6.0,5000.0,42.34,0.0046181703668713,10411.406,10364.724819326531
1.0,52,linearity,6.0,5000.0,43.17,0.0045293799706586,11806.995,11760.313819326531
1.0,53,linearity,10.0,0.0,39.8,0.0049128978224455,25.78244,-20.898740673469383
1.0,54,linearity,10.0,0.0,39.21,0.0049868230893479,20.150019,-26.531161673469384
1.0,55,linearity,10.0,0.0,38.38,0.0050946673614729,23.9875,-22.693680673469384
1.0,56,linearity,10.0,0.0,39.76,0.0049178403755868,25.824119999999997,-20.857060673469388
1.0,57,linearity,10.0,0.0,39.59,0.004938957649238,24.482456,-22.198724673469385
1.0,58,linearity,10.0,10.0,40.92,0.0047784294558488,61.83012,15.148939326530616
1.0,59,linearity,10.0,10.0,42.56,0.004594298245614,67.6704,20.989219326530616
1.0,60,linearity,10.0,10.0,42.02,0.0046533396795176,62.98798000000001,16.306799326530623
1.0,61,linearity,10.0,10.0,39.21,0.0049868230893479,52.38456000000001,5.703379326530623
1.0,62,linearity,10.0,10.0,37.28,0.0052449928469241,50.66352,3.9823393265306137
1.0,64,linearity,10.0,25.0,39.03,0.0050098215048253,64.59465,17.913469326530617
1.0,65,linearity,10.0,25.0,37.6,0.005200354609929,73.3952,26.714019326530618
1.0,66,linearity,10.0,25.0,38.13,0.005128070635545,60.89361,14.212429326530618
1.0,67,linearity,10.0,25.0,37.51,0.0052128321336532,64.66723999999999,17.986059326530608
1.0,68,linearity,10.0,25.0,38.42,0.0050893631788998,79.87518000000001,33.19399932653063
1.0,69,linearity,10.0,50.0,37.94,0.0051537515375153,113.40265999999998,66.7214793265306
1.0,70,linearity,10.0,50.0,38.9,0.0050265638389031,113.3546,66.67341932653062
1.0,71,linearity,10.0,50.0,38.7,0.005052540913006,115.9839,69.30271932653062
1.0,72,linearity,10.0,50.0,39.44,0.0049577417173766,109.40656,62.725379326530614
1.0,73,linearity,10.0,50.0,38.07,0.0051361527011645,118.13121000000001,71.45002932653063
1.0,74,linearity,10.0,100.0,39.58,0.0049402054909887,208.94281999999998,162.2616393265306
1.0,75,linearity,10.0,100.0,36.61,0.0053409815168897,206.80989,160.1287093265306
1.0,76,linearity,10.0,100.0,39.81,0.0049116637360797,208.00725,161.32606932653061
1.0,77,linearity,10.0,100.0,38.75,0.0050460215053763,212.07874999999999,165.3975693265306
1.0,78,linearity,10.0,100.0,43.81,0.0044632123563874,228.81963000000002,182.13844932653063
1.0,79,linearity,10.0,250.0,38.52,0.0050761509172724,544.6728,497.99161932653067
1.0,80,linearity,10.0,250.0,37.3,0.0052421805183199,470.35299999999995,423.67181932653057
1.0,81,linearity,10.0,250.0,40.48,0.0048303689064558,502.35679999999996,455.6756193265306
1.0,82,linearity,10.0,250.0,39.29,0.0049766692118435,482.87409999999994,436.19291932653056
1.0,83,linearity,10.0,250.0,39.26,0.0049804720665647,478.9719999999999,432.29081932653054
1.0,84,linearity,10.0,500.0,38.23,0.0051146569012119,966.4544,919.7732193265306
1.0,86,linearity,10.0,500.0,37.95,0.0051523935002195,1015.9215,969.2403193265307
1.0,87,linearity,10.0,500.0,41.08,0.0047598182408308,1005.6383999999999,958.9572193265305
1.0,88,linearity,10.0,500.0,39.44,0.0049577417173766,1083.0224,1036.3412193265308
1.0,89,linearity,10.0,500.0,38.58,0.0050682564368411,907.4015999999999,860.7204193265305
1.0,90,linearity,10.0,1000.0,46.59,0.0041968948987622,2811.7065000000002,2765.0253193265307
1.0,91,linearity,10.0,1000.0,43.81,0.0044632123563874,2283.3772,2236.6960193265304
1.0,92,linearity,10.0,1000.0,40.92,0.0047784294558488,2033.3148,1986.6336193265306
1.0,93,linearity,10.0,1000.0,46.76,0.0041816367265469,2347.8196,2301.1384193265303
1.0,94,linearity,10.0,1000.0,37.46,0.0052197899982203,1854.27,1807.5888193265305
1.0,95,linearity,10.0,2000.0,37.54,0.0052086663114899,3726.5957999999996,3679.91461932653
1.0,96,linearity,10.0,2000.0,38.14,0.0051267260968362,3711.7848,3665.1036193265304
1.0,97,linearity,10.0,2000.0,39.69,0.0049265138154027,3871.7594999999997,3825.07831932653
1.0,98,linearity,10.0,2000.0,37.62,0.005197589934432,4292.441999999999,4245.76081932653
1.0,99,linearity,10.0,2000.0,37.88,0.0051619148187258,4170.588,4123.90681932653
1.0,100,linearity,10.0,3000.0,38.59,0.0050669430767901,5641.858,5595.176819326531
1.0,101,linearity,10.0,3000.0,41.49,0.0047127821965132,6306.4800000000005,6259.798819326531
1.0,102,linearity,10.0,3000.0,45.95,0.0042553500181356,6979.805,6933.123819326531
1.0,103,linearity,10.0,3000.0,37.56,0.0052058927937522,5889.408,5842.726819326531
1.0,104,linearity,10.0,3000.0,37.99,0.0051469685004825,5326.197999999999,5279.51681932653
1.0,105,linearity,10.0,5000.0,37.25,0.0052492170022371,9189.574999999999,9142.89381932653
1.0,106,linearity,10.0,5000.0,39.41,0.0049615156897572,9884.028,9837.34681932653
1.0,107,linearity,10.0,5000.0,37.34,0.0052365648991251,10051.928,10005.24681932653
1.0,108,linearity,10.0,5000.0,45.48,0.0042993257109352,11638.332,11591.65081932653
1.0,110,linearity,10.0,0.0,38.82,0.0050369225485145,21.754728,-24.926452673469385
1.0,111,linearity,10.0,0.0,39.91,0.0048993568863275,21.276021,-25.405159673469385
1.0,112,linearity,10.0,0.0,37.54,0.0052086663114899,19.997557999999998,-26.683622673469387
1.0,113,linearity,10.0,0.0,37.18,0.0052590998744844,25.144834,-21.536346673469385
1.0,114,linearity,10.0,0.0,38.98,0.0050162476483666,23.637472,-23.043708673469386
1.0,115,dose_rate,6.0,600.0,37.63,0.0051962086987332,357.25922,310.57803932653064
1.0,116,dose_rate,6.0,600.0,36.8,0.0053134057971014,342.7184,296.0372193265306
1.0,117,dose_rate,6.0,600.0,37.69,0.0051879366763951,375.73160999999993,329.05042932653055
1.0,118,dose_rate,6.0,600.0,37.88,0.0051619148187258,374.4438,327.7626193265306
1.0,119,dose_rate,6.0,600.0,38.52,0.0050761509172724,385.58520000000004,338.90401932653066
1.0,120,dose_rate,6.0,500.0,39.33,0.0049716077633697,411.7851,365.1039193265306
1.0,122,dose_rate,6.0,500.0,45.33,0.0043135524670931,453.75329999999997,407.0721193265306
